year,section,articles,percent_articles
1990,Business,3,27.27272727272727
1990,Opinion,3,27.27272727272727
1990,New York,3,27.27272727272727
1990,T Magazine,1,9.090909090909092
1990,Magazine,1,9.090909090909092
1991,Opinion,3,30.0
1991,Archives,3,30.0
1991,Home & Garden,1,10.0
1991,Education,1,10.0
1991,New York,1,10.0
1991,T Magazine,1,10.0
1992,Opinion,5,27.77777777777778
1992,New York,4,22.22222222222222
1992,Business,3,16.666666666666664
1992,Archives,3,16.666666666666664
1992,Books,2,11.11111111111111
1992,Magazine,1,5.555555555555555
1993,Archives,10,38.46153846153847
1993,Opinion,7,26.923076923076923
1993,Business,4,15.384615384615385
1993,New York,3,11.538461538461538
1993,Your Money,1,3.8461538461538463
1993,Books,1,3.8461538461538463
1994,New York,4,23.52941176470588
1994,Opinion,4,23.52941176470588
1994,Archives,4,23.52941176470588
1994,Business,4,23.52941176470588
1994,Magazine,1,5.88235294117647
1995,Archives,6,30.0
1995,Opinion,5,25.0
1995,Business,4,20.0
1995,Magazine,1,5.0
1995,Books,1,5.0
1995,New York,1,5.0
1995,Arts,1,5.0
1995,Home & Garden,1,5.0
1996,Opinion,14,29.78723404255319
1996,Unknown,9,19.148936170212767
1996,World,6,12.76595744680851
1996,Business,5,10.638297872340425
1996,New York,5,10.638297872340425
1996,Arts,3,6.382978723404255
1996,U.S.,2,4.25531914893617
1996,Your Money,1,2.127659574468085
1996,Magazine,1,2.127659574468085
1996,Movies,1,2.127659574468085
1997,World,29,35.36585365853659
1997,Opinion,17,20.73170731707317
1997,Business,16,19.51219512195122
1997,New York,4,4.878048780487805
1997,Unknown,3,3.6585365853658534
1997,Home & Garden,3,3.6585365853658534
1997,U.S.,3,3.6585365853658534
1997,Your Money,3,3.6585365853658534
1997,Magazine,1,1.2195121951219512
1997,T Magazine,1,1.2195121951219512
1997,Movies,1,1.2195121951219512
1997,Arts,1,1.2195121951219512
1998,World,26,30.58823529411765
1998,Business,14,16.470588235294116
1998,Opinion,12,14.117647058823529
1998,U.S.,7,8.235294117647058
1998,Arts,6,7.0588235294117645
1998,New York,6,7.0588235294117645
1998,Magazine,4,4.705882352941177
1998,Unknown,4,4.705882352941177
1998,Science,2,2.3529411764705883
1998,Education,2,2.3529411764705883
1998,Your Money,1,1.1764705882352942
1998,Home & Garden,1,1.1764705882352942
1999,World,29,39.726027397260275
1999,Opinion,18,24.65753424657534
1999,Business,12,16.43835616438356
1999,New York,4,5.47945205479452
1999,Movies,2,2.73972602739726
1999,Home & Garden,2,2.73972602739726
1999,Unknown,1,1.36986301369863
1999,Health,1,1.36986301369863
1999,Arts,1,1.36986301369863
1999,Magazine,1,1.36986301369863
1999,Science,1,1.36986301369863
1999,U.S.,1,1.36986301369863
2000,World,26,30.58823529411765
2000,Opinion,13,15.294117647058824
2000,Business,13,15.294117647058824
2000,U.S.,13,15.294117647058824
2000,Archives,9,10.588235294117647
2000,Arts,5,5.88235294117647
2000,New York,2,2.3529411764705883
2000,Unknown,1,1.1764705882352942
2000,Movies,1,1.1764705882352942
2000,Theater,1,1.1764705882352942
2000,Home & Garden,1,1.1764705882352942
2001,World,32,47.76119402985074
2001,Business,8,11.940298507462686
2001,Opinion,6,8.955223880597014
2001,New York,6,8.955223880597014
2001,U.S.,4,5.970149253731343
2001,Arts,4,5.970149253731343
2001,Archives,1,1.4925373134328357
2001,Home & Garden,1,1.4925373134328357
2001,Education,1,1.4925373134328357
2001,Movies,1,1.4925373134328357
2001,Magazine,1,1.4925373134328357
2001,Your Money,1,1.4925373134328357
2001,Books,1,1.4925373134328357
2002,World,21,27.27272727272727
2002,Business,19,24.675324675324674
2002,Opinion,16,20.77922077922078
2002,Arts,7,9.090909090909092
2002,New York,5,6.493506493506493
2002,Archives,4,5.194805194805195
2002,Home & Garden,2,2.5974025974025974
2002,Your Money,1,1.2987012987012987
2002,Theater,1,1.2987012987012987
2002,Education,1,1.2987012987012987
2003,World,35,37.634408602150536
2003,Business,17,18.27956989247312
2003,Opinion,14,15.053763440860216
2003,U.S.,6,6.451612903225806
2003,Arts,3,3.225806451612903
2003,New York,3,3.225806451612903
2003,Movies,3,3.225806451612903
2003,Archives,3,3.225806451612903
2003,Science,2,2.1505376344086025
2003,Health,2,2.1505376344086025
2003,Your Money,2,2.1505376344086025
2003,Books,1,1.0752688172043012
2003,Home & Garden,1,1.0752688172043012
2003,Education,1,1.0752688172043012
2004,World,23,29.11392405063291
2004,Business,21,26.582278481012654
2004,Opinion,9,11.39240506329114
2004,Arts,7,8.860759493670885
2004,Archives,6,7.59493670886076
2004,U.S.,4,5.063291139240507
2004,New York,3,3.79746835443038
2004,Education,2,2.5316455696202533
2004,Technology,1,1.2658227848101267
2004,Theater,1,1.2658227848101267
2004,Home & Garden,1,1.2658227848101267
2004,Books,1,1.2658227848101267
2005,Business,24,37.5
2005,World,14,21.875
2005,U.S.,7,10.9375
2005,Opinion,6,9.375
2005,New York,4,6.25
2005,Magazine,3,4.6875
2005,Health,2,3.125
2005,Arts,2,3.125
2005,Archives,1,1.5625
2005,Automobiles,1,1.5625
2006,World,22,37.28813559322034
2006,Business,11,18.64406779661017
2006,Opinion,6,10.16949152542373
2006,New York,4,6.779661016949152
2006,Arts,4,6.779661016949152
2006,Magazine,3,5.084745762711865
2006,Technology,3,5.084745762711865
2006,U.S.,3,5.084745762711865
2006,Archives,1,1.694915254237288
2006,The Learning Network,1,1.694915254237288
2006,Fashion,1,1.694915254237288
2007,Business,17,36.95652173913043
2007,World,16,34.78260869565217
2007,New York,3,6.521739130434782
2007,Opinion,2,4.3478260869565215
2007,Arts,1,2.1739130434782608
2007,Health,1,2.1739130434782608
2007,Science,1,2.1739130434782608
2007,Obituaries,1,2.1739130434782608
2007,Fashion,1,2.1739130434782608
2007,Automobiles,1,2.1739130434782608
2007,Technology,1,2.1739130434782608
2007,Magazine,1,2.1739130434782608
2008,Business,13,40.625
2008,World,11,34.375
2008,Opinion,2,6.25
2008,Education,1,3.125
2008,Home & Garden,1,3.125
2008,Technology,1,3.125
2008,Washington,1,3.125
2008,Arts,1,3.125
2008,New York,1,3.125
2009,Business,17,30.909090909090907
2009,World,14,25.454545454545453
2009,Opinion,6,10.909090909090908
2009,Blogs,6,10.909090909090908
2009,Science,4,7.2727272727272725
2009,U.S.,2,3.6363636363636362
2009,Gameplay,1,1.8181818181818181
2009,Technology,1,1.8181818181818181
2009,Movies,1,1.8181818181818181
2009,Health,1,1.8181818181818181
2009,Automobiles,1,1.8181818181818181
2009,New York,1,1.8181818181818181
2010,Business,32,34.78260869565217
2010,World,23,25.0
2010,Opinion,9,9.782608695652174
2010,New York,6,6.521739130434782
2010,U.S.,5,5.434782608695652
2010,Science,4,4.3478260869565215
2010,Gameplay,4,4.3478260869565215
2010,Technology,3,3.260869565217391
2010,Arts,3,3.260869565217391
2010,Health,1,1.0869565217391304
2010,Magazine,1,1.0869565217391304
